"","Ano","Mês","Município","Aparelho.de.Pesca.x","nº.de.descargas.do.período","nº.de.Unidades.Produtivas","Aparelho.de.Pesca.y","Pescado","kg.no.Período"
"1","1998","1","Santos/Guarujá","cerco",18,7,"cerco","Carapau",2000
"2","1998","1","Ubatuba","cerco",13,5,"cerco","Carapau",32130
"3","1998","10","Santos/Guarujá","cerco",30,19,"cerco","Carapau",140220
"4","1998","11","Santos/Guarujá","cerco",242,61,"cerco","Carapau",50360
"5","1998","12","Santos/Guarujá","cerco",128,38,"cerco","Carapau",12320
"6","1998","2","Santos/Guarujá","cerco",9,5,"cerco","Carapau",18920
"7","1998","2","Ubatuba","cerco",5,3,"cerco","Carapau",8360
"8","1998","6","Santos/Guarujá","cerco",90,33,"cerco","Carapau",5860
"9","1999","1","Ubatuba","cerco",3,2,"cerco","Carapau",4500
"10","1999","2","Ubatuba","cerco",10,2,"cerco","Carapau",10310
"11","1999","3","Santos/Guarujá","cerco",91,39,"cerco","Carapau",22000
"12","1999","3","Ubatuba","cerco",2,2,"cerco","Carapau",450
"13","1999","4","Santos/Guarujá","cerco",90,42,"cerco","Carapau",400
"14","1999","5","Santos/Guarujá","cerco",18,11,"cerco","Carapau",66300
"15","2000","12","Ubatuba","cerco",2,1,"cerco","Carapau",650
"16","2000","2","Santos/Guarujá","cerco",20,12,"cerco","Carapau",8640
"17","2000","2","Ubatuba","cerco",3,2,"cerco","Carapau",2800
"18","2000","3","Ubatuba","cerco",5,2,"cerco","Carapau",890
"19","2000","5","Santos/Guarujá","cerco",45,18,"cerco","Carapau",25560
"20","2000","5","Ubatuba","cerco",4,2,"cerco","Carapau",9280
"21","2001","10","Santos/Guarujá","cerco",17,7,"cerco","Carapau",30250
"22","2001","3","Ubatuba","cerco",10,4,"cerco","Carapau",9590
"23","2001","4","Santos/Guarujá","cerco",108,39,"cerco","Carapau",7500
"24","2001","4","Ubatuba","cerco",3,2,"cerco","Carapau",1880
"25","2001","7","Santos/Guarujá","cerco",38,16,"cerco","Carapau",91200
"26","2001","8","Santos/Guarujá","cerco",37,9,"cerco","Carapau",68800
"27","2001","9","Santos/Guarujá","cerco",31,13,"cerco","Carapau",10000
"28","2002","1","Santos/Guarujá","cerco",14,3,"cerco","Carapau",9700
"29","2002","10","Santos/Guarujá","cerco",125,42,"cerco","Carapau",3000
"30","2002","2","Ubatuba","cerco",2,1,"cerco","Carapau",10000
"31","2002","3","Santos/Guarujá","cerco",68,29,"cerco","Carapau",100
"32","2002","5","Ubatuba","cerco",1,1,"cerco","Carapau",500
"33","2002","6","Ubatuba","cerco",4,2,"cerco","Carapau",7500
"34","2002","7","Ubatuba","cerco",1,1,"cerco","Carapau",800
"35","2002","9","Santos/Guarujá","cerco",14,7,"cerco","Carapau",41000
"36","2003","1","Santos/Guarujá","cerco",3,3,"cerco","Carapau",10000
"37","2003","11","Ilhabela","cerco",1,1,"cerco","Carapau",500
"38","2003","11","Santos/Guarujá","cerco",97,39,"cerco","Carapau",51600
"39","2003","2","Ilhabela","cerco",7,5,"cerco","Carapau",305
"40","2003","2","Santos/Guarujá","cerco",6,4,"cerco","Carapau",9740
"41","2003","3","Ilhabela","cerco",10,7,"cerco","Carapau",2360
"42","2003","3","Santos/Guarujá","cerco",138,58,"cerco","Carapau",3000
"43","2003","4","Ilhabela","cerco",12,9,"cerco","Carapau",2055
"44","2003","5","Ilhabela","cerco",23,11,"cerco","Carapau",298
"45","2003","5","Santos/Guarujá","cerco",19,14,"cerco","Carapau",2800
"46","2003","7","Ilhabela","cerco",6,4,"cerco","Carapau",40
"47","2003","8","Ilhabela","cerco",9,6,"cerco","Carapau",250
"48","2003","9","Ilhabela","cerco",3,2,"cerco","Carapau",680
"49","2004","1","Santos/Guarujá","cerco",22,9,"cerco","Carapau",119000
"50","2004","2","Santos/Guarujá","cerco",12,8,"cerco","Carapau",21760
"51","2004","2","Ubatuba","cerco",2,2,"cerco","Carapau",780
"52","2004","3","Ilhabela","cerco",5,4,"cerco","Carapau",3080
"53","2005","10","Santos/Guarujá","cerco",5,4,"cerco","Carapau",8300
"54","2005","11","Santos/Guarujá","cerco",8,6,"cerco","Carapau",175800
"55","2005","12","Santos/Guarujá","cerco",7,6,"cerco","Carapau",61244
"56","2005","2","Santos/Guarujá","cerco",7,5,"cerco","Carapau",13900
"57","2005","2","Ubatuba","cerco",2,2,"cerco","Carapau",25000
"58","2005","3","Ubatuba","cerco",3,3,"cerco","Carapau",1450
"59","2005","4","Santos/Guarujá","cerco",52,28,"cerco","Carapau",13080
"60","2005","6","Ubatuba","cerco",2,2,"cerco","Carapau",1500
"61","2005","9","Santos/Guarujá","cerco",5,4,"cerco","Carapau",11000
"62","2006","1","Santos/Guarujá","cerco",4,4,"cerco","Carapau",4000
"63","2006","10","Santos/Guarujá","cerco",118,40,"cerco","Carapau",24000
"64","2006","11","Santos/Guarujá","cerco",93,38,"cerco","Carapau",140700
"65","2006","4","Santos/Guarujá","cerco",183,71,"cerco","Carapau",2500
"66","2006","7","Santos/Guarujá","cerco",8,4,"cerco","Carapau",4600
"67","2007","12","Santos/Guarujá","cerco",2,1,"cerco","Carapau",7700
"68","2007","7","Santos/Guarujá","cerco",9,5,"cerco","Carapau",21000
"69","2007","8","Santos/Guarujá","cerco",90,38,"cerco","Carapau",45000
"70","2008","10","Ilhabela","cerco",36,9,"cerco","Carapau",50
"71","2008","10","São Sebastião","cerco",5,4,"cerco","Carapau",208
"72","2008","12","Ilhabela","cerco",11,7,"cerco","Carapau",113
"73","2008","3","Ilhabela","cerco",37,6,"cerco","Carapau",5567.5
"74","2008","3","Santos/Guarujá","cerco",91,41,"cerco","Carapau",2500
"75","2008","3","Ubatuba","cerco",5,5,"cerco","Carapau",4404
"76","2008","4","Ilhabela","cerco",22,8,"cerco","Carapau",5815.71
"77","2008","4","Ubatuba","cerco",4,3,"cerco","Carapau",3500
"78","2008","5","Ilhabela","cerco",8,4,"cerco","Carapau",1530
"79","2009","11","Ilhabela","cerco",18,8,"cerco","Carapau",6760
"80","2009","12","Ilhabela","cerco",30,9,"cerco","Carapau",27680
"81","2009","12","São Sebastião","cerco",3,3,"cerco","Carapau",700
"82","2009","2","Ilhabela","cerco",10,3,"cerco","Carapau",764
"83","2009","2","Santos/Guarujá","cerco",9,8,"cerco","Carapau",24260
"84","2009","3","Ilhabela","cerco",34,8,"cerco","Carapau",6677
"85","2009","3","Santos/Guarujá","cerco",152,51,"cerco","Carapau",1940
"86","2009","3","Ubatuba","cerco",3,3,"cerco","Carapau",15
"87","2009","4","Ilhabela","cerco",6,4,"cerco","Carapau",182
"88","2009","6","Ubatuba","cerco",2,1,"cerco","Carapau",740
"89","2010","1","Ilhabela","cerco",29,9,"cerco","Carapau",30744
"90","2010","1","Santos/Guarujá","cerco",5,3,"cerco","Carapau",115000
"91","2010","1","Ubatuba","cerco",1,1,"cerco","Carapau",560
"92","2010","11","Ilhabela","cerco",8,3,"cerco","Carapau",18085.08
"93","2010","11","Santos/Guarujá","cerco",8,7,"cerco","Carapau",11855
"94","2010","12","Ilhabela","cerco",17,9,"cerco","Carapau",12666
"95","2010","12","São Sebastião","cerco",1,1,"cerco","Carapau",4800
"96","2010","2","Ilhabela","cerco",4,4,"cerco","Carapau",1255
"97","2010","2","Santos/Guarujá","cerco",30,23,"cerco","Carapau",11600
"98","2010","2","Ubatuba","cerco",4,3,"cerco","Carapau",2000
"99","2010","3","Ilhabela","cerco",10,4,"cerco","Carapau",5330
"100","2010","4","Ilhabela","cerco",9,3,"cerco","Carapau",7693
"101","2010","5","Ilhabela","cerco",6,4,"cerco","Carapau",72
"102","2010","5","Santos/Guarujá","cerco",7,4,"cerco","Carapau",20
"103","2010","6","Ilhabela","cerco",23,6,"cerco","Carapau",2450
"104","2010","7","Ilhabela","cerco",14,5,"cerco","Carapau",4207
"105","2010","9","Ilhabela","cerco",5,3,"cerco","Carapau",3080
"106","2011","1","Ilhabela","cerco",14,5,"cerco","Carapau",8768
"107","2011","1","Santos/Guarujá","cerco",3,2,"cerco","Carapau",15420
