Ano;Mês;Aparelho de Pesca;Pescado;kg no Período;nº de descargas do período
2000;1;Rede de cerco;Carapau;3280.00;2
2000;3;Rede de cerco;Carapau;60.00;1
2000;5;Rede de cerco;Carapau;2480.00;3
2001;3;Rede de cerco;Carapau;512.00;4
2001;4;Rede de cerco;Carapau;2520.00;5
2001;6;Rede de cerco;Carapau;10800.00;2
2001;7;Rede de cerco;Carapau;65299.00;17
2001;8;Rede de cerco;Carapau;820.00;1
2001;9;Rede de cerco;Carapau;14223.00;5
2001;10;Rede de cerco;Carapau;59420.00;32
2001;11;Rede de cerco;Carapau;1440.00;1
2001;12;Rede de cerco;Carapau;1800.00;2
2002;2;Rede de cerco;Carapau;18160.00;1
2002;3;Rede de cerco;Carapau;14427.00;7
2002;4;Rede de cerco;Carapau;6450.00;10
2002;5;Rede de cerco;Carapau;22780.00;3
2002;6;Rede de cerco;Carapau;288976.00;19
2002;7;Rede de cerco;Carapau;278218.00;22
2002;8;Rede de cerco;Carapau;36390.00;8
2002;9;Rede de cerco;Carapau;5920.00;4
2002;10;Rede de cerco;Carapau;1800.00;1
2002;12;Rede de cerco;Carapau;2500.00;1
2003;1;Rede de cerco;Carapau;65770.00;4
2003;3;Rede de cerco;Carapau;100.00;1
2003;4;Rede de cerco;Carapau;1100.00;4
2003;7;Rede de cerco;Carapau;31285.00;8
2003;8;Rede de cerco;Carapau;9319.00;4
2003;9;Rede de cerco;Carapau;7860.00;5
2003;10;Rede de cerco;Carapau;4760.00;1
2003;11;Rede de cerco;Carapau;13358.00;3
2003;12;Rede de cerco;Carapau;4280.00;6
2004;1;Rede de cerco;Carapau;261560.00;18
2004;2;Rede de cerco;Carapau;27129.00;7
2004;3;Rede de cerco;Carapau;540.00;3
2004;4;Rede de cerco;Carapau;60.00;1
2004;5;Rede de cerco;Carapau;730.00;1
2004;8;Rede de cerco;Carapau;2160.00;1
2005;1;Rede de cerco;Carapau;4430.00;4
2005;2;Rede de cerco;Carapau;640.00;1
2005;3;Rede de cerco;Carapau;80.00;1
2005;4;Rede de cerco;Carapau;4134.00;6
2005;5;Rede de cerco;Carapau;2080.00;1
2005;6;Rede de cerco;Carapau;4000.00;4
2005;7;Rede de cerco;Carapau;241889.00;36
2005;8;Rede de cerco;Carapau;291328.00;40
2005;9;Rede de cerco;Carapau;163560.00;13
2005;10;Rede de cerco;Carapau;2400.00;2
2005;11;Rede de cerco;Carapau;53908.00;2
2005;12;Rede de cerco;Carapau;47520.00;7
2006;1;Rede de cerco;Carapau;53570.00;13
2006;2;Rede de cerco;Carapau;3020.00;6
2006;3;Rede de cerco;Carapau;4340.00;2
2006;4;Rede de cerco;Carapau;21885.00;7
2006;7;Rede de cerco;Carapau;55386.00;11
2006;8;Rede de cerco;Carapau;18625.00;8
2006;10;Rede de cerco;Carapau;35040.00;6
2006;11;Rede de cerco;Carapau;27820.00;2
2006;12;Rede de cerco;Carapau;480.00;1
2007;1;Rede de cerco;Carapau;41046.00;11
2007;2;Rede de cerco;Carapau;9700.00;2
2007;4;Rede de cerco;Carapau;4220.00;1
2007;6;Rede de cerco;Carapau;10480.00;2
2007;7;Rede de cerco;Carapau;31200.00;5
2007;8;Rede de cerco;Carapau;15680.00;2
2007;10;Rede de cerco;Carapau;1982.00;2
2007;12;Rede de cerco;Carapau;19000.00;2
2008;1;Rede de cerco;Carapau;100.00;1
2008;2;Rede de cerco;Carapau;160.00;1
2008;3;Rede de cerco;Carapau;46440.00;6
2008;7;Rede de cerco;Carapau;6060.00;4
2008;8;Rede de cerco;Carapau;15140.00;2
2009;3;Rede de cerco;Carapau;1480.00;1
2009;5;Rede de cerco;Carapau;200.00;1
2009;6;Rede de cerco;Carapau;200.00;1
2009;7;Rede de cerco;Carapau;160.00;1
2009;8;Rede de cerco;Carapau;10840.00;2
2009;12;Rede de cerco;Carapau;2000.00;1
2010;1;Rede de cerco;Carapau;81960.00;2
2010;3;Rede de cerco;Carapau;1300.00;2
2010;4;Rede de cerco;Carapau;3080.00;1
2010;5;Rede de cerco;Carapau;10000.00;1
2010;8;Rede de cerco;Carapau;110888.00;15
2010;9;Rede de cerco;Carapau;60.00;2
2010;10;Rede de cerco;Carapau;1580.00;5
2010;11;Rede de cerco;Carapau;2400.00;1
2011;2;Rede de cerco;Carapau;3540.00;2
2011;4;Rede de cerco;Carapau;1000.00;1
2011;6;Rede de cerco;Carapau;2500.00;1
2011;8;Rede de cerco;Carapau;3000.00;1
2012;6;Rede de cerco;Carapau;95000.00;1
2013;1;Rede de cerco;Carapau;1660.00;2
2013;6;Rede de cerco;Carapau;40.00;1
2013;7;Rede de cerco;Carapau;5000.00;1
2013;8;Rede de cerco;Carapau;3220.00;1
2014;5;Rede de cerco;Carapau;260.00;1
2014;7;Rede de cerco;Carapau;20000.00;2
2014;9;Rede de cerco;Carapau;3000.00;1
2015;2;Rede de cerco;Carapau;0.00;1
2015;3;Rede de cerco;Carapau;20.00;1
2015;4;Rede de cerco;Carapau;1000.00;1
2015;5;Rede de cerco;Carapau;5000.00;1
2016;8;Rede de cerco;Carapau;5580.00;1
2016;10;Rede de cerco;Carapau;19420.00;6
2016;11;Rede de cerco;Carapau;3000.00;1
2017;2;Rede de cerco;Carapau;15419.00;3
2017;2;Rede de cerco;Carapau;1960.00;2
2017;3;Rede de cerco;Carapau;13680.00;12
2017;4;Rede de cerco;Carapau;39600.00;6
2017;5;Rede de cerco;Carapau;7068.00;5
2017;6;Rede de cerco;Carapau;260.00;1
2017;7;Rede de cerco;Carapau;56500.00;6
2017;8;Rede de cerco;Carapau;1060.00;1
2017;9;Rede de cerco;Carapau;54070.00;9
2017;10;Rede de cerco;Carapau;22180.00;6
2017;11;Rede de cerco;Carapau;1000.00;1
2018;2;Rede de cerco;Carapau;15000.00;1
2018;3;Rede de cerco;Carapau;1000.00;1
2018;4;Rede de cerco;Carapau;24600.00;6
2018;7;Rede de cerco;Carapau;700.00;1
2018;8;Rede de cerco;Carapau;10600.00;2
2018;9;Rede de cerco;Carapau;220.00;1
2018;10;Rede de cerco;Carapau;3000.00;1
2019;5;Rede de cerco;Carapau;10500.00;2
2019;9;Rede de cerco;Carapau;2760.00;1
