ano;mes;local;Aparelho de Pesca;Pescado;captura;descargas;UP
1999;1;Ubatuba;cerco-flutuante;Carapau;40;1;1
1999;3;Ubatuba;cerco-flutuante;Carapau;8195;13;4
1999;4;Ubatuba;cerco-flutuante;Carapau;370;5;2
1999;5;Ubatuba;cerco-flutuante;Carapau;575;10;4
2000;5;Ubatuba;cerco-flutuante;Carapau;1700;5;2
2000;11;Ubatuba;cerco-flutuante;Carapau;150;3;1
2001;2;Ubatuba;cerco-flutuante;Carapau;600;6;2
2001;3;Ubatuba;cerco-flutuante;Carapau;4725;9;4
2001;4;Ubatuba;cerco-flutuante;Carapau;1620;2;2
2001;5;Ubatuba;cerco-flutuante;Carapau;100;1;1
2002;3;Ubatuba;cerco-flutuante;Carapau;350;2;1
2002;4;Ubatuba;cerco-flutuante;Carapau;1460;4;2
2007;1;São Sebastião;cerco-flutuante;Carapau;57.5;1;1
2007;2;São Sebastião;cerco-flutuante;Carapau;493.5;5;2
2007;3;São Sebastião;cerco-flutuante;Carapau;81.5;8;3
2007;4;São Sebastião;cerco-flutuante;Carapau;241.5;7;2
2007;5;São Sebastião;cerco-flutuante;Carapau;371.5;8;2
2007;6;São Sebastião;cerco-flutuante;Carapau;10;1;1
2007;7;São Sebastião;cerco-flutuante;Carapau;20;1;1
2007;8;São Sebastião;cerco-flutuante;Carapau;70;1;1
2007;9;São Sebastião;cerco-flutuante;Carapau;13;1;1
2007;10;São Sebastião;cerco-flutuante;Carapau;2785.23;10;2
2007;11;São Sebastião;cerco-flutuante;Carapau;143.5;6;2
2007;12;São Sebastião;cerco-flutuante;Carapau;879.7;10;2
2008;3;São Sebastião;cerco-flutuante;Carapau;20;4;2
2008;4;Ilhabela;cerco-flutuante;Carapau;1801.5;17;8
2008;4;São Sebastião;cerco-flutuante;Carapau;578;8;7
2008;5;Ilhabela;cerco-flutuante;Carapau;120;1;1
2008;5;São Sebastião;cerco-flutuante;Carapau;428;9;7
2008;6;Ilhabela;cerco-flutuante;Carapau;28;2;2
2008;9;Ilhabela;cerco-flutuante;Carapau;9;1;1
2008;9;São Sebastião;cerco-flutuante;Carapau;0.4;1;1
2008;10;Ilhabela;cerco-flutuante;Carapau;38;2;2
2008;10;São Sebastião;cerco-flutuante;Carapau;400;4;2
2008;11;Ilhabela;cerco-flutuante;Carapau;103;4;3
2008;11;São Sebastião;cerco-flutuante;Carapau;136;6;6
2008;12;Ilhabela;cerco-flutuante;Carapau;149;3;3
2008;12;São Sebastião;cerco-flutuante;Carapau;2187.5;26;10
2009;1;Ilhabela;cerco-flutuante;Carapau;72;3;2
2009;1;São Sebastião;cerco-flutuante;Carapau;317.5;6;3
2009;2;Ilhabela;cerco-flutuante;Carapau;23;1;1
2009;2;São Sebastião;cerco-flutuante;Carapau;2249.4;21;6
2009;3;Ilhabela;cerco-flutuante;Carapau;97;3;2
2009;3;São Sebastião;cerco-flutuante;Carapau;10220.3;67;7
2009;4;Ilhabela;cerco-flutuante;Carapau;135.5;4;4
2009;4;São Sebastião;cerco-flutuante;Carapau;1430.5;17;4
2009;5;Ilhabela;cerco-flutuante;Carapau;473.7;8;4
2009;5;São Sebastião;cerco-flutuante;Carapau;110.9;5;4
2009;6;Ilhabela;cerco-flutuante;Carapau;570;15;7
2009;6;São Sebastião;cerco-flutuante;Carapau;158;5;4
2009;7;Ilhabela;cerco-flutuante;Carapau;69;5;4
2009;8;Ilhabela;cerco-flutuante;Carapau;69;3;2
2009;8;São Sebastião;cerco-flutuante;Carapau;17.3;2;2
2009;9;Ilhabela;cerco-flutuante;Carapau;371;5;2
2009;9;São Sebastião;cerco-flutuante;Carapau;1380;5;2
2009;10;Ilhabela;cerco-flutuante;Carapau;727;11;3
2009;10;São Sebastião;cerco-flutuante;Carapau;773;14;4
2009;11;Ilhabela;cerco-flutuante;Carapau;4519.5;32;12
2009;11;São Sebastião;cerco-flutuante;Carapau;17202;107;14
2009;12;Ilhabela;cerco-flutuante;Carapau;1856.5;30;11
2009;12;São Sebastião;cerco-flutuante;Carapau;5189.5;86;14
2010;1;Ilhabela;cerco-flutuante;Carapau;1350;8;6
2010;1;São Sebastião;cerco-flutuante;Carapau;11831;99;13
2010;2;Ilhabela;cerco-flutuante;Carapau;403;5;3
2010;2;São Sebastião;cerco-flutuante;Carapau;24545;118;13
2010;3;Ilhabela;cerco-flutuante;Carapau;542;11;4
2010;3;São Sebastião;cerco-flutuante;Carapau;4015.5;61;15
2010;4;Ilhabela;cerco-flutuante;Carapau;637;8;5
2010;4;São Sebastião;cerco-flutuante;Carapau;626.1;29;8
