Ano;Mês;Município;Aparelho de Pesca;Pescado;kg no Período;nº de descargas do período;nº de Unidades Produtivas
2000;4;Ubatuba;emalhe-de-fundo;Carapau;50;3;3
2000;5;Ubatuba;emalhe-de-fundo;Carapau;763;12;8
2000;10;Iguape;emalhe-de-fundo;Carapau;2;1;1
2000;12;Ubatuba;emalhe-de-fundo;Carapau;63;3;3
2001;3;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2001;4;Ubatuba;emalhe-de-fundo;Carapau;22;2;2
2001;6;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2001;11;Ubatuba;emalhe-de-fundo;Carapau;52;2;2
2002;1;Cananéia;emalhe-de-fundo;Carapau;6;1;1
2002;3;Cananéia;emalhe-de-fundo;Carapau;23;1;1
2002;3;Ubatuba;emalhe-de-fundo;Carapau;30;1;1
2002;7;Santos/Guarujá;emalhe-de-fundo;Carapau;50;1;1
2003;10;Cananéia;emalhe-de-fundo;Carapau;59;2;2
2003;11;Cananéia;emalhe-de-fundo;Carapau;8;1;1
2005;11;Cananéia;emalhe-de-fundo;Carapau;40;1;1
2005;12;Cananéia;emalhe-de-fundo;Carapau;43;1;1
2006;2;Cananéia;emalhe-de-fundo;Carapau;116;3;3
2006;4;Cananéia;emalhe-de-fundo;Carapau;421;2;2
2006;4;Iguape;emalhe-de-fundo;Carapau;120;1;1
2006;5;Cananéia;emalhe-de-fundo;Carapau;668;7;5
2006;10;Cananéia;emalhe-de-fundo;Carapau;90;1;1
2006;11;Cananéia;emalhe-de-fundo;Carapau;50;1;1
2007;4;Cananéia;emalhe-de-fundo;Carapau;116;4;4
2007;5;Cananéia;emalhe-de-fundo;Carapau;214;4;3
2007;7;Cananéia;emalhe-de-fundo;Carapau;8;1;1
2007;12;Cananéia;emalhe-de-fundo;Carapau;114;2;2
2008;1;Cananéia;emalhe-de-fundo;Carapau;69;2;2
2008;2;Cananéia;emalhe-de-fundo;Carapau;40;1;1
2008;3;Iguape;emalhe-de-fundo;Carapau;14;1;1
2008;3;Ilhabela;emalhe-de-fundo;Carapau;20;1;1
2008;3;São Sebastião;emalhe-de-fundo;Carapau;516.57;3;2
2008;4;Ilhabela;emalhe-de-fundo;Carapau;36;1;1
2008;5;Caraguatatuba;emalhe-de-fundo;Carapau;1.8;1;1
2008;5;Ilhabela;emalhe-de-fundo;Carapau;4;1;1
2008;6;Ilhabela;emalhe-de-fundo;Carapau;59;2;2
2008;8;Ilhabela;emalhe-de-fundo;Carapau;6;1;1
2008;9;Ilhabela;emalhe-de-fundo;Carapau;45;1;1
2008;10;Iguape;emalhe-de-fundo;Carapau;6;1;1
2008;10;São Sebastião;emalhe-de-fundo;Carapau;0.3;1;1
2008;11;Cananéia;emalhe-de-fundo;Carapau;78;1;1
2008;11;São Sebastião;emalhe-de-fundo;Carapau;0.8;1;1
2008;12;Cananéia;emalhe-de-fundo;Carapau;43;1;1
2008;12;Iguape;emalhe-de-fundo;Carapau;296;3;2
2009;1;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2009;2;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2009;3;Caraguatatuba;emalhe-de-fundo;Carapau;38.5;3;1
2009;3;São Sebastião;emalhe-de-fundo;Carapau;9;4;3
2009;4;Iguape;emalhe-de-fundo;Carapau;10;1;1
2009;4;Ilhabela;emalhe-de-fundo;Carapau;10;1;1
2009;4;São Sebastião;emalhe-de-fundo;Carapau;4.5;4;2
2009;5;Ilhabela;emalhe-de-fundo;Carapau;13.2;3;3
2009;6;São Sebastião;emalhe-de-fundo;Carapau;8;1;1
2009;9;Caraguatatuba;emalhe-de-fundo;Carapau;2.73;2;1
2009;9;Ilhabela;emalhe-de-fundo;Carapau;54;3;3
2009;10;Cananéia;emalhe-de-fundo;Carapau;124;1;1
2009;10;Ilhabela;emalhe-de-fundo;Carapau;8;1;1
2009;11;Ilhabela;emalhe-de-fundo;Carapau;8.5;2;2
2009;11;Santos/Guarujá;emalhe-de-fundo;Carapau;0.5;1;1
2009;11;São Sebastião;emalhe-de-fundo;Carapau;315.5;15;7
2009;12;Ilhabela;emalhe-de-fundo;Carapau;2.5;2;2
2009;12;São Sebastião;emalhe-de-fundo;Carapau;115;6;1
2010;1;Ilhabela;emalhe-de-fundo;Carapau;4;1;1
2010;1;São Sebastião;emalhe-de-fundo;Carapau;20;2;2
2010;2;Ilhabela;emalhe-de-fundo;Carapau;20;1;1
2010;2;São Sebastião;emalhe-de-fundo;Carapau;21;4;3
2010;3;Cananéia;emalhe-de-fundo;Carapau;41;3;2
2010;3;Ilhabela;emalhe-de-fundo;Carapau;30;5;2
2010;3;São Sebastião;emalhe-de-fundo;Carapau;21;4;2
2010;4;Cananéia;emalhe-de-fundo;Carapau;36.5;4;2
2010;4;Caraguatatuba;emalhe-de-fundo;Carapau;15.5;2;2
2010;4;Ilhabela;emalhe-de-fundo;Carapau;32;2;2
2010;4;São Sebastião;emalhe-de-fundo;Carapau;57.5;6;3
2010;5;Ilhabela;emalhe-de-fundo;Carapau;20;2;2
2010;5;Santos/Guarujá;emalhe-de-fundo;Carapau;40;1;1
2010;5;São Sebastião;emalhe-de-fundo;Carapau;6;1;1
2010;6;Ilhabela;emalhe-de-fundo;Carapau;17;1;1
2010;6;Santos/Guarujá;emalhe-de-fundo;Carapau;50;1;1
2010;6;São Sebastião;emalhe-de-fundo;Carapau;539.4;41;11
2010;7;Ilhabela;emalhe-de-fundo;Carapau;20;1;1
2010;8;Iguape;emalhe-de-fundo;Carapau;4;1;1
2010;8;Ilhabela;emalhe-de-fundo;Carapau;45;1;1
2010;8;Santos/Guarujá;emalhe-de-fundo;Carapau;20;1;1
2010;8;São Sebastião;emalhe-de-fundo;Carapau;50;3;2
2010;9;Ilhabela;emalhe-de-fundo;Carapau;286;5;4
2010;9;São Sebastião;emalhe-de-fundo;Carapau;16;10;6
2010;10;Iguape;emalhe-de-fundo;Carapau;8;1;1
2010;10;Ilhabela;emalhe-de-fundo;Carapau;75;3;3
2010;10;São Sebastião;emalhe-de-fundo;Carapau;112;19;3
2010;11;Ilhabela;emalhe-de-fundo;Carapau;340;3;2
2010;11;Santos/Guarujá;emalhe-de-fundo;Carapau;20;1;1
2010;11;São Sebastião;emalhe-de-fundo;Carapau;32;10;2
2010;12;Ilhabela;emalhe-de-fundo;Carapau;38;3;3
2010;12;São Sebastião;emalhe-de-fundo;Carapau;41;6;1
2011;1;Cananéia;emalhe-de-fundo;Carapau;54;1;1
2011;2;Santos/Guarujá;emalhe-de-fundo;Carapau;35;2;2
2011;2;São Sebastião;emalhe-de-fundo;Carapau;3;1;1
2011;3;Iguape;emalhe-de-fundo;Carapau;1.5;1;1
2011;3;Ilhabela;emalhe-de-fundo;Carapau;5;2;2
2011;3;São Sebastião;emalhe-de-fundo;Carapau;10;1;1
2011;4;Cananéia;emalhe-de-fundo;Carapau;106;3;2
2011;4;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2011;5;Cananéia;emalhe-de-fundo;Carapau;21;1;1
2011;5;Caraguatatuba;emalhe-de-fundo;Carapau;2;1;1
2011;5;Ilhabela;emalhe-de-fundo;Carapau;24;2;2
2011;5;Santos/Guarujá;emalhe-de-fundo;Carapau;13;3;1
2011;5;Ubatuba;emalhe-de-fundo;Carapau;13;4;2
2011;6;Caraguatatuba;emalhe-de-fundo;Carapau;8;1;1
2011;7;Caraguatatuba;emalhe-de-fundo;Carapau;36;4;2
2011;7;Peruíbe;emalhe-de-fundo;Carapau;2;1;1
2011;8;Ilhabela;emalhe-de-fundo;Carapau;33;2;2
2011;8;Peruíbe;emalhe-de-fundo;Carapau;1.5;1;1
2011;9;Ilhabela;emalhe-de-fundo;Carapau;88;4;1
2011;9;Ubatuba;emalhe-de-fundo;Carapau;473;10;5
2011;10;Ilhabela;emalhe-de-fundo;Carapau;137;7;1
2011;10;Peruíbe;emalhe-de-fundo;Carapau;2;1;1
2011;10;Ubatuba;emalhe-de-fundo;Carapau;247;3;2
2011;11;Iguape;emalhe-de-fundo;Carapau;14;2;2
2011;11;Ilhabela;emalhe-de-fundo;Carapau;32;3;1
2011;12;Ilhabela;emalhe-de-fundo;Carapau;6;1;1
2011;12;Ubatuba;emalhe-de-fundo;Carapau;8;2;2
2012;1;Peruíbe;emalhe-de-fundo;Carapau;13;2;2
2012;2;Cananéia;emalhe-de-fundo;Carapau;30;1;1
2012;2;Caraguatatuba;emalhe-de-fundo;Carapau;5;2;1
2012;3;Cananéia;emalhe-de-fundo;Carapau;5;1;1
2012;3;Praia Grande;emalhe-de-fundo;Carapau;32.9;1;1
2012;3;Ubatuba;emalhe-de-fundo;Carapau;15;1;1
2012;4;Santos/Guarujá;emalhe-de-fundo;Carapau;9.5;2;1
2012;4;São Sebastião;emalhe-de-fundo;Carapau;2;1;1
2012;5;Cananéia;emalhe-de-fundo;Carapau;74;1;1
2012;5;Ilhabela;emalhe-de-fundo;Carapau;45;3;3
2012;5;Peruíbe;emalhe-de-fundo;Carapau;9;3;2
2012;5;Santos/Guarujá;emalhe-de-fundo;Carapau;1012;5;2
2012;5;São Sebastião;emalhe-de-fundo;Carapau;13;2;1
2012;6;Cananéia;emalhe-de-fundo;Carapau;551;3;3
2012;6;Ilhabela;emalhe-de-fundo;Carapau;3.8;1;1
2012;6;Santos/Guarujá;emalhe-de-fundo;Carapau;4.5;2;1
2012;7;Cananéia;emalhe-de-fundo;Carapau;22;1;1
2012;7;Ilhabela;emalhe-de-fundo;Carapau;2;1;1
2012;7;Peruíbe;emalhe-de-fundo;Carapau;1.2;1;1
2012;7;Santos/Guarujá;emalhe-de-fundo;Carapau;6;1;1
2012;7;Ubatuba;emalhe-de-fundo;Carapau;19;2;2
2012;8;Peruíbe;emalhe-de-fundo;Carapau;1;1;1
2012;8;Ubatuba;emalhe-de-fundo;Carapau;1;1;1
2012;9;São Sebastião;emalhe-de-fundo;Carapau;4;2;1
2012;10;Iguape;emalhe-de-fundo;Carapau;4.5;1;1
2012;10;Ilhabela;emalhe-de-fundo;Carapau;4;2;2
2012;10;Peruíbe;emalhe-de-fundo;Carapau;9.5;2;1
2012;10;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2012;11;Ilhabela;emalhe-de-fundo;Carapau;3.5;1;1
2012;11;Peruíbe;emalhe-de-fundo;Carapau;4;2;1
2012;12;Cananéia;emalhe-de-fundo;Carapau;13;1;1
2012;12;São Sebastião;emalhe-de-fundo;Carapau;25;3;1
2013;1;Peruíbe;emalhe-de-fundo;Carapau;2.5;1;1
2013;2;Cananéia;emalhe-de-fundo;Carapau;40;2;2
2013;2;Caraguatatuba;emalhe-de-fundo;Carapau;10;1;1
2013;2;São Sebastião;emalhe-de-fundo;Carapau;18;2;2
2013;2;São Vicente;emalhe-de-fundo;Carapau;1;1;1
2013;3;Caraguatatuba;emalhe-de-fundo;Carapau;25;3;2
2013;3;Ilhabela;emalhe-de-fundo;Carapau;16;2;2
2013;4;Cananéia;emalhe-de-fundo;Carapau;3.5;1;1
2013;4;Caraguatatuba;emalhe-de-fundo;Carapau;11;2;1
2013;5;Caraguatatuba;emalhe-de-fundo;Carapau;120.8;11;6
2013;5;Ilhabela;emalhe-de-fundo;Carapau;1;1;1
2013;5;Ubatuba;emalhe-de-fundo;Carapau;110;3;1
2013;6;Santos/Guarujá;emalhe-de-fundo;Carapau;30;1;1
2013;7;Caraguatatuba;emalhe-de-fundo;Carapau;30.3;2;1
2013;7;Santos/Guarujá;emalhe-de-fundo;Carapau;500;4;2
2013;8;Caraguatatuba;emalhe-de-fundo;Carapau;22;1;1
2013;8;Ilhabela;emalhe-de-fundo;Carapau;15;2;2
2013;8;Santos/Guarujá;emalhe-de-fundo;Carapau;30;1;1
2013;10;Caraguatatuba;emalhe-de-fundo;Carapau;3.2;2;2
2013;10;Ubatuba;emalhe-de-fundo;Carapau;80;1;1
2013;11;Ilhabela;emalhe-de-fundo;Carapau;1;1;1
2013;11;São Sebastião;emalhe-de-fundo;Carapau;17;4;2
2013;11;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2013;12;Caraguatatuba;emalhe-de-fundo;Carapau;14;2;1
2013;12;Ilhabela;emalhe-de-fundo;Carapau;5;1;1
2013;12;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2014;1;Ubatuba;emalhe-de-fundo;Carapau;5;1;1
2014;2;Cananéia;emalhe-de-fundo;Carapau;20;1;1
2014;2;São Sebastião;emalhe-de-fundo;Carapau;3;1;1
2014;3;Caraguatatuba;emalhe-de-fundo;Carapau;0.7;1;1
2014;3;São Sebastião;emalhe-de-fundo;Carapau;47;7;4
2014;3;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2014;4;Cananéia;emalhe-de-fundo;Carapau;31;1;1
2014;4;Caraguatatuba;emalhe-de-fundo;Carapau;43.9;3;2
2014;4;Ilhabela;emalhe-de-fundo;Carapau;6;1;1
2014;4;São Sebastião;emalhe-de-fundo;Carapau;8;1;1
2014;4;Ubatuba;emalhe-de-fundo;Carapau;14;1;1
2014;5;Cananéia;emalhe-de-fundo;Carapau;18;2;2
2014;5;Caraguatatuba;emalhe-de-fundo;Carapau;32.1;7;3
2014;5;Santos/Guarujá;emalhe-de-fundo;Carapau;50;2;2
2014;5;São Sebastião;emalhe-de-fundo;Carapau;3;1;1
2014;5;Ubatuba;emalhe-de-fundo;Carapau;7;3;3
2014;6;Cananéia;emalhe-de-fundo;Carapau;21;3;1
2014;7;Cananéia;emalhe-de-fundo;Carapau;12;2;1
2014;7;Ilhabela;emalhe-de-fundo;Carapau;25;1;1
2014;7;Ubatuba;emalhe-de-fundo;Carapau;3;1;1
2014;8;Cananéia;emalhe-de-fundo;Carapau;46;4;2
2014;8;Caraguatatuba;emalhe-de-fundo;Carapau;4;1;1
2014;8;Santos/Guarujá;emalhe-de-fundo;Carapau;55;2;2
2014;8;Ubatuba;emalhe-de-fundo;Carapau;15;1;1
2014;9;Cananéia;emalhe-de-fundo;Carapau;14;2;1
2014;9;Caraguatatuba;emalhe-de-fundo;Carapau;2;1;1
2014;9;Ilhabela;emalhe-de-fundo;Carapau;4;1;1
2014;9;Santos/Guarujá;emalhe-de-fundo;Carapau;120;2;2
2014;9;São Sebastião;emalhe-de-fundo;Carapau;10;1;1
2014;9;Ubatuba;emalhe-de-fundo;Carapau;15;1;1
2014;10;Cananéia;emalhe-de-fundo;Carapau;7;1;1
2014;10;Caraguatatuba;emalhe-de-fundo;Carapau;15;1;1
2014;10;Ilhabela;emalhe-de-fundo;Carapau;38;2;2
2014;10;Santos/Guarujá;emalhe-de-fundo;Carapau;40;2;2
2014;10;Ubatuba;emalhe-de-fundo;Carapau;79.5;4;4
2014;11;Cananéia;emalhe-de-fundo;Carapau;51;6;1
2014;11;Caraguatatuba;emalhe-de-fundo;Carapau;2.5;1;1
2014;11;Ilhabela;emalhe-de-fundo;Carapau;38;3;3
2014;11;Santos/Guarujá;emalhe-de-fundo;Carapau;50;1;1
2014;11;São Sebastião;emalhe-de-fundo;Carapau;1;1;1
2014;11;Ubatuba;emalhe-de-fundo;Carapau;1594;15;10
2014;12;Cananéia;emalhe-de-fundo;Carapau;28;5;1
2014;12;Caraguatatuba;emalhe-de-fundo;Carapau;10;1;1
2014;12;Ubatuba;emalhe-de-fundo;Carapau;394;7;4
2015;1;Ilhabela;emalhe-de-fundo;Carapau;70;1;1
2015;1;Santos/Guarujá;emalhe-de-fundo;Carapau;105;3;3
2015;1;São Sebastião;emalhe-de-fundo;Carapau;54;2;2
2015;1;Ubatuba;emalhe-de-fundo;Carapau;57;3;2
2015;2;Caraguatatuba;emalhe-de-fundo;Carapau;1;1;1
