Ano;Mês;Município;Aparelho de Pesca;Pescado;kg no Período;nº de descargas do período;nº de Unidades Produtivas
2000;9;Iguape;emalhe-de-superfície;Carapau;33;1;1
2007;3;Iguape;emalhe-de-superfície;Carapau;140;1;1
2007;4;Iguape;emalhe-de-superfície;Carapau;132.5;3;3
2008;2;Cananéia;emalhe-de-superfície;Carapau;28;1;1
2008;5;Cananéia;emalhe-de-superfície;Carapau;15;1;1
2008;12;Ilhabela;emalhe-de-superfície;Carapau;2;1;1
2009;2;São Sebastião;emalhe-de-superfície;Carapau;1;1;1
2009;3;Iguape;emalhe-de-superfície;Carapau;16;1;1
2009;3;São Sebastião;emalhe-de-superfície;Carapau;33;5;1
2009;4;Iguape;emalhe-de-superfície;Carapau;2;1;1
2009;4;São Sebastião;emalhe-de-superfície;Carapau;21;3;2
2009;5;Ilhabela;emalhe-de-superfície;Carapau;134.5;11;8
2009;5;São Sebastião;emalhe-de-superfície;Carapau;5;3;3
2009;7;São Sebastião;emalhe-de-superfície;Carapau;35;2;2
2009;8;Ilhabela;emalhe-de-superfície;Carapau;21;2;2
2009;10;Ilhabela;emalhe-de-superfície;Carapau;10;1;1
2009;11;Ilhabela;emalhe-de-superfície;Carapau;5.5;4;3
2009;11;São Sebastião;emalhe-de-superfície;Carapau;66;5;2
2009;12;Ilhabela;emalhe-de-superfície;Carapau;1;1;1
2009;12;São Sebastião;emalhe-de-superfície;Carapau;4.5;3;1
2010;1;Ilhabela;emalhe-de-superfície;Carapau;2;2;2
2010;3;Ilhabela;emalhe-de-superfície;Carapau;42;2;1
2010;3;São Sebastião;emalhe-de-superfície;Carapau;9.5;2;2
2010;4;Ilhabela;emalhe-de-superfície;Carapau;44;7;6
2010;4;São Sebastião;emalhe-de-superfície;Carapau;1;1;1
2010;5;Ilhabela;emalhe-de-superfície;Carapau;4;1;1
2010;5;São Sebastião;emalhe-de-superfície;Carapau;1;1;1
2010;6;Ilhabela;emalhe-de-superfície;Carapau;20;1;1
2010;6;São Sebastião;emalhe-de-superfície;Carapau;10;3;1
2010;8;Ilhabela;emalhe-de-superfície;Carapau;27;2;2
2010;9;Ilhabela;emalhe-de-superfície;Carapau;198;1;1
2010;12;Ilhabela;emalhe-de-superfície;Carapau;82;2;2
2011;2;Ilhabela;emalhe-de-superfície;Carapau;5;1;1
2011;3;Ilhabela;emalhe-de-superfície;Carapau;2;2;1
2011;4;Ilhabela;emalhe-de-superfície;Carapau;48;3;2
2011;5;Ilhabela;emalhe-de-superfície;Carapau;64;7;6
2011;5;São Sebastião;emalhe-de-superfície;Carapau;30;1;1
2011;6;Ilhabela;emalhe-de-superfície;Carapau;114;7;5
2011;6;Ubatuba;emalhe-de-superfície;Carapau;15;1;1
2011;7;Ilhabela;emalhe-de-superfície;Carapau;38;2;1
2011;8;Ilhabela;emalhe-de-superfície;Carapau;22;4;4
2011;8;Ubatuba;emalhe-de-superfície;Carapau;40;1;1
2011;9;Ilhabela;emalhe-de-superfície;Carapau;78;4;3
2011;10;Ilhabela;emalhe-de-superfície;Carapau;38;2;2
2011;11;Ilhabela;emalhe-de-superfície;Carapau;123.5;9;5
2011;11;Ubatuba;emalhe-de-superfície;Carapau;1.7;1;1
2011;12;Ilhabela;emalhe-de-superfície;Carapau;114;4;4
2012;1;Ilhabela;emalhe-de-superfície;Carapau;25;2;2
2012;2;Ilhabela;emalhe-de-superfície;Carapau;14;1;1
2012;3;Caraguatatuba;emalhe-de-superfície;Carapau;10;1;1
2012;3;Ilhabela;emalhe-de-superfície;Carapau;11.2;3;3
2012;4;Caraguatatuba;emalhe-de-superfície;Carapau;6;1;1
2012;4;Ilhabela;emalhe-de-superfície;Carapau;56;2;2
2012;5;Ilhabela;emalhe-de-superfície;Carapau;1;1;1
2012;5;Ubatuba;emalhe-de-superfície;Carapau;39;2;2
2012;6;Ilhabela;emalhe-de-superfície;Carapau;6;1;1
2012;6;São Sebastião;emalhe-de-superfície;Carapau;135;3;2
2012;7;Ubatuba;emalhe-de-superfície;Carapau;1;1;1
2012;8;São Sebastião;emalhe-de-superfície;Carapau;31;1;1
2012;9;Caraguatatuba;emalhe-de-superfície;Carapau;4;1;1
2012;9;Iguape;emalhe-de-superfície;Carapau;6;1;1
2012;9;Ubatuba;emalhe-de-superfície;Carapau;12;2;2
2012;10;Ilhabela;emalhe-de-superfície;Carapau;10;3;3
2012;11;Ilhabela;emalhe-de-superfície;Carapau;23;5;2
2012;12;Ilhabela;emalhe-de-superfície;Carapau;17;2;1
2013;1;Ilhabela;emalhe-de-superfície;Carapau;6;3;3
2013;2;Ilhabela;emalhe-de-superfície;Carapau;1;1;1
2013;3;Ilhabela;emalhe-de-superfície;Carapau;263.5;13;10
2013;3;São Sebastião;emalhe-de-superfície;Carapau;22;1;1
2013;4;Ilhabela;emalhe-de-superfície;Carapau;21;2;2
2013;5;Ilhabela;emalhe-de-superfície;Carapau;42;2;2
2013;6;Ilhabela;emalhe-de-superfície;Carapau;21.7;4;4
2013;7;Ilhabela;emalhe-de-superfície;Carapau;10;3;3
2013;9;Caraguatatuba;emalhe-de-superfície;Carapau;93;1;1
2013;10;Ilhabela;emalhe-de-superfície;Carapau;70;2;2
2013;11;Ilhabela;emalhe-de-superfície;Carapau;56.5;5;5
2013;12;Ilhabela;emalhe-de-superfície;Carapau;19.8;3;3
2014;1;Ilhabela;emalhe-de-superfície;Carapau;92;2;1
2014;1;Ubatuba;emalhe-de-superfície;Carapau;3;1;1
2014;2;Ilhabela;emalhe-de-superfície;Carapau;51;8;6
2014;2;Ubatuba;emalhe-de-superfície;Carapau;3;1;1
2014;3;Ilhabela;emalhe-de-superfície;Carapau;68;6;6
2014;3;São Sebastião;emalhe-de-superfície;Carapau;6;1;1
2014;4;Ilhabela;emalhe-de-superfície;Carapau;97;8;4
2014;4;São Sebastião;emalhe-de-superfície;Carapau;10;1;1
2014;5;Ilhabela;emalhe-de-superfície;Carapau;37;3;3
2014;5;São Sebastião;emalhe-de-superfície;Carapau;3;1;1
2014;6;Ilhabela;emalhe-de-superfície;Carapau;14;2;2
2014;7;Ilhabela;emalhe-de-superfície;Carapau;61;5;3
2014;9;Ilhabela;emalhe-de-superfície;Carapau;28;2;2
2014;9;São Sebastião;emalhe-de-superfície;Carapau;18;3;2
2014;10;Ilhabela;emalhe-de-superfície;Carapau;39;2;1
2014;10;São Sebastião;emalhe-de-superfície;Carapau;1;1;1
2014;11;Ilhabela;emalhe-de-superfície;Carapau;48.5;5;4
2014;11;São Sebastião;emalhe-de-superfície;Carapau;20.4;2;2
2014;12;Ilhabela;emalhe-de-superfície;Carapau;20;2;2
2015;1;Ilhabela;emalhe-de-superfície;Carapau;35;3;3
2015;2;Ilhabela;emalhe-de-superfície;Carapau;427;7;7
2015;2;São Sebastião;emalhe-de-superfície;Carapau;80;4;2
2015;3;Ilhabela;emalhe-de-superfície;Carapau;647;9;6
2015;3;São Sebastião;emalhe-de-superfície;Carapau;329;7;5
2015;4;Ilhabela;emalhe-de-superfície;Carapau;772;5;2
2015;4;São Sebastião;emalhe-de-superfície;Carapau;289;7;3
2015;5;Ilhabela;emalhe-de-superfície;Carapau;297;7;5
2015;6;Ilhabela;emalhe-de-superfície;Carapau;190.5;7;5
2015;6;São Sebastião;emalhe-de-superfície;Carapau;18;3;3
2015;7;Ilhabela;emalhe-de-superfície;Carapau;18;1;1
2015;7;São Sebastião;emalhe-de-superfície;Carapau;6.3;2;1
2015;9;Ilhabela;emalhe-de-superfície;Carapau;18;2;2
2015;9;Ubatuba;emalhe-de-superfície;Carapau;2;1;1
2015;10;Ilhabela;emalhe-de-superfície;Carapau;4.5;1;1
2015;10;São Sebastião;emalhe-de-superfície;Carapau;2.2;1;1
2015;11;Ilhabela;emalhe-de-superfície;Carapau;18.5;4;3
2015;12;Ilhabela;emalhe-de-superfície;Carapau;58.5;7;5
2016;1;Ilhabela;emalhe-de-superfície;Carapau;14;3;2
2016;1;São Sebastião;emalhe-de-superfície;Carapau;62;2;1
2016;2;São Sebastião;emalhe-de-superfície;Carapau;4.8;2;2
2016;3;Ilhabela;emalhe-de-superfície;Carapau;1059;15;7
2016;3;São Sebastião;emalhe-de-superfície;Carapau;1279.9;21;8
2016;3;Ubatuba;emalhe-de-superfície;Carapau;20;1;1
2016;4;Iguape;emalhe-de-superfície;Carapau;166;6;5
2016;4;Ilhabela;emalhe-de-superfície;Carapau;61.5;5;4
2016;4;São Sebastião;emalhe-de-superfície;Carapau;257;8;5
2016;5;Ilhabela;emalhe-de-superfície;Carapau;36;5;3
2016;5;São Sebastião;emalhe-de-superfície;Carapau;9;2;1
2016;6;Ilhabela;emalhe-de-superfície;Carapau;184;6;6
2016;6;São Sebastião;emalhe-de-superfície;Carapau;47.4;5;5
2016;7;Ilhabela;emalhe-de-superfície;Carapau;90;3;1
2016;7;São Sebastião;emalhe-de-superfície;Carapau;126;2;2
2016;8;Ilhabela;emalhe-de-superfície;Carapau;452;3;3
2016;9;Ilhabela;emalhe-de-superfície;Carapau;8;1;1
2016;10;Ilhabela;emalhe-de-superfície;Carapau;51;2;2
2016;10;Ubatuba;emalhe-de-superfície;Carapau;15;1;1
2016;11;Ilhabela;emalhe-de-superfície;Carapau;210.5;3;3
2016;12;Ilhabela;emalhe-de-superfície;Carapau;10;3;3
2017;2;Ilhabela;emalhe-de-superfície;Carapau;86;3;3
2017;2;Ubatuba;emalhe-de-superfície;Carapau;8;1;1
2017;3;Ilhabela;emalhe-de-superfície;Carapau;66;7;5
2017;3;Mongaguá;emalhe-de-superfície;Carapau;205;1;1
2017;3;São Sebastião;emalhe-de-superfície;Carapau;393.5;6;6
2017;4;Ilhabela;emalhe-de-superfície;Carapau;55;5;1
2017;4;São Sebastião;emalhe-de-superfície;Carapau;24;3;1
2017;4;Ubatuba;emalhe-de-superfície;Carapau;46;2;2
2017;5;Ilhabela;emalhe-de-superfície;Carapau;29;5;3
2017;5;São Sebastião;emalhe-de-superfície;Carapau;10;1;1
2017;5;Ubatuba;emalhe-de-superfície;Carapau;13;2;2
2017;6;Ilhabela;emalhe-de-superfície;Carapau;25.6;3;2
2017;6;São Sebastião;emalhe-de-superfície;Carapau;66.7;1;1
2017;7;Ilhabela;emalhe-de-superfície;Carapau;24;3;2
2017;7;São Sebastião;emalhe-de-superfície;Carapau;18;3;2
2017;8;Ilhabela;emalhe-de-superfície;Carapau;132;5;5
2017;8;São Sebastião;emalhe-de-superfície;Carapau;4.6;2;2
2017;8;Ubatuba;emalhe-de-superfície;Carapau;6;1;1
2017;9;Ilhabela;emalhe-de-superfície;Carapau;2;1;1
2017;10;Ilhabela;emalhe-de-superfície;Carapau;6;2;1
2017;10;Ubatuba;emalhe-de-superfície;Carapau;100;1;1
2017;11;Ilhabela;emalhe-de-superfície;Carapau;10;2;2
2017;12;Ilhabela;emalhe-de-superfície;Carapau;33;2;2
2018;1;Ilhabela;emalhe-de-superfície;Carapau;5;1;1
2018;2;Ubatuba;emalhe-de-superfície;Carapau;5;1;1
2018;3;Ilhabela;emalhe-de-superfície;Carapau;45;2;2
2018;4;Ilhabela;emalhe-de-superfície;Carapau;72.5;6;5
2018;4;São Sebastião;emalhe-de-superfície;Carapau;19.4;3;3
2018;4;Ubatuba;emalhe-de-superfície;Carapau;3;1;1
2018;5;Ilhabela;emalhe-de-superfície;Carapau;61;6;5
2018;5;São Sebastião;emalhe-de-superfície;Carapau;40;1;1
2018;6;Ilhabela;emalhe-de-superfície;Carapau;51;3;3
2018;6;São Sebastião;emalhe-de-superfície;Carapau;51.3;4;2
2018;7;Ilhabela;emalhe-de-superfície;Carapau;123;5;3
2018;7;São Sebastião;emalhe-de-superfície;Carapau;130.6;6;3
2018;7;Ubatuba;emalhe-de-superfície;Carapau;107.5;7;7
2018;8;Ilhabela;emalhe-de-superfície;Carapau;12;3;3
2018;8;São Sebastião;emalhe-de-superfície;Carapau;52;5;3
2018;8;Ubatuba;emalhe-de-superfície;Carapau;3;1;1
2018;9;Ilhabela;emalhe-de-superfície;Carapau;12;1;1
2018;10;Ilhabela;emalhe-de-superfície;Carapau;12.5;2;2
2018;10;São Sebastião;emalhe-de-superfície;Carapau;53;3;1
2018;11;Ilhabela;emalhe-de-superfície;Carapau;85;2;2
2018;11;São Sebastião;emalhe-de-superfície;Carapau;11;1;1
2018;12;Ilhabela;emalhe-de-superfície;Carapau;53;3;2
2018;12;São Sebastião;emalhe-de-superfície;Carapau;46;2;1
2019;1;São Sebastião;emalhe-de-superfície;Carapau;5.67;1;1
2019;2;São Sebastião;emalhe-de-superfície;Carapau;116.5;6;3
2019;3;Ilhabela;emalhe-de-superfície;Carapau;3;1;1
2019;3;São Sebastião;emalhe-de-superfície;Carapau;35.6;3;3
2019;4;São Sebastião;emalhe-de-superfície;Carapau;23;1;1
2019;5;Ilhabela;emalhe-de-superfície;Carapau;111;5;3
2019;5;São Sebastião;emalhe-de-superfície;Carapau;10;2;2
2019;6;Ilhabela;emalhe-de-superfície;Carapau;3.5;1;1
2019;6;São Sebastião;emalhe-de-superfície;Carapau;1.3;1;1
2019;7;Ilhabela;emalhe-de-superfície;Carapau;96;4;3
2019;7;Santos/Guarujá;emalhe-de-superfície;Carapau;50;2;1
2019;7;São Sebastião;emalhe-de-superfície;Carapau;48.7;2;1
2019;8;Ilhabela;emalhe-de-superfície;Carapau;38;2;2
2019;9;Ilhabela;emalhe-de-superfície;Carapau;7;2;1
2019;9;Ubatuba;emalhe-de-superfície;Carapau;3;1;1
