Ano;Mês;Município;Aparelho de Pesca;Pescado;kg no Período;nº de descargas do período;nº de Unidades Produtivas
1998;1;Santos/Guarujá;cerco;Carapau;2000;2;2
1998;1;Santos/Guarujá;indeterminado;Carapau;31630;1;1
1998;1;Ubatuba;cerco;Carapau;32130;8;4
1998;2;Santos/Guarujá;cerco;Carapau;18920;3;3
1998;2;Santos/Guarujá;indeterminado;Carapau;1660;1;1
1998;2;Ubatuba;cerco;Carapau;8360;4;3
1998;6;Santos/Guarujá;arrasto-duplo;Carapau;84;4;3
1998;6;Santos/Guarujá;cerco;Carapau;5860;2;2
1998;7;Santos/Guarujá;arrasto-duplo;Carapau;115;3;3
1998;8;Santos/Guarujá;arrasto-duplo;Carapau;765;4;4
1998;9;Santos/Guarujá;arrasto-duplo;Carapau;747;6;6
1998;10;Santos/Guarujá;arrasto-duplo;Carapau;1432;9;8
1998;10;Santos/Guarujá;cerco;Carapau;140220;15;11
1998;10;Santos/Guarujá;indeterminado;Carapau;220;1;1
1998;10;Ubatuba;arrasto-duplo;Carapau;343;2;2
1998;11;Santos/Guarujá;arrasto-duplo;Carapau;189;5;5
1998;11;Santos/Guarujá;cerco;Carapau;50360;19;11
1998;12;Santos/Guarujá;arrasto-duplo;Carapau;15;1;1
1998;12;Santos/Guarujá;cerco;Carapau;12320;11;7
1999;1;Ubatuba;cerco;Carapau;4500;2;1
1999;1;Ubatuba;cerco-flutuante;Carapau;40;1;1
1999;2;Ubatuba;cerco;Carapau;10310;9;2
1999;2;Ubatuba;multi-artes;Carapau;140;8;8
1999;3;Santos/Guarujá;cerco;Carapau;22000;3;3
1999;3;Ubatuba;cerco;Carapau;450;1;1
1999;3;Ubatuba;cerco-flutuante;Carapau;8195;13;4
1999;3;Ubatuba;emalhes-diversos;Carapau;10;1;1
1999;3;Ubatuba;linha-de-mão;Carapau;40;1;1
1999;3;Ubatuba;multi-artes;Carapau;78;4;4
1999;4;Santos/Guarujá;cerco;Carapau;400;3;3
1999;4;Ubatuba;cerco-flutuante;Carapau;370;5;2
1999;4;Ubatuba;emalhes-diversos;Carapau;100;1;1
1999;5;Santos/Guarujá;cerco;Carapau;66300;1;1
1999;5;Santos/Guarujá;parelha;Carapau;80;2;1
1999;5;Ubatuba;cerco-flutuante;Carapau;575;10;4
1999;6;Santos/Guarujá;arrasto-duplo;Carapau;120;1;1
1999;6;Santos/Guarujá;parelha;Carapau;20;1;1
1999;12;Cananéia;cerco-fixo;Carapau;3;1;1
1999;12;Santos/Guarujá;emalhes-diversos;Carapau;10;1;1
2000;2;Santos/Guarujá;cerco;Carapau;8640;1;1
2000;2;Ubatuba;cerco;Carapau;2800;3;2
2000;2;Ubatuba;espinhel-de-fundo;Carapau;30;1;1
2000;3;Ubatuba;cerco;Carapau;890;3;2
2000;3;Ubatuba;espinhel-de-fundo;Carapau;60;1;1
2000;4;Ubatuba;emalhe-de-fundo;Carapau;50;3;3
2000;4;Ubatuba;linha-de-mão;Carapau;177;7;7
2000;5;Santos/Guarujá;cerco;Carapau;25560;10;10
2000;5;Ubatuba;cerco;Carapau;9280;4;2
2000;5;Ubatuba;cerco-flutuante;Carapau;1700;5;2
2000;5;Ubatuba;emalhe-de-fundo;Carapau;763;12;8
2000;5;Ubatuba;linha-de-mão;Carapau;25;1;1
2000;6;Santos/Guarujá;arrasto-duplo;Carapau;30;2;2
2000;9;Iguape;emalhe-de-superfície;Carapau;33;1;1
2000;10;Iguape;emalhe-de-fundo;Carapau;2;1;1
2000;11;Ubatuba;cerco-flutuante;Carapau;150;3;1
2000;12;Ubatuba;cerco;Carapau;650;2;1
2000;12;Ubatuba;emalhe-de-fundo;Carapau;63;3;3
2000;12;Ubatuba;emalhes-diversos;Carapau;35;1;1
2000;12;Ubatuba;linha-de-mão;Carapau;12;1;1
2001;2;Santos/Guarujá;arrasto-duplo;Carapau;30;1;1
2001;2;Ubatuba;cerco-flutuante;Carapau;600;6;2
2001;2;Ubatuba;linha-de-mão;Carapau;50;1;1
2001;3;Ubatuba;cerco;Carapau;9590;10;4
2001;3;Ubatuba;cerco-flutuante;Carapau;4725;9;4
2001;3;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2001;3;Ubatuba;linha-de-mão;Carapau;40;1;1
2001;4;Santos/Guarujá;cerco;Carapau;7500;4;4
2001;4;Ubatuba;cerco;Carapau;1880;3;2
2001;4;Ubatuba;cerco-flutuante;Carapau;1620;2;2
2001;4;Ubatuba;emalhe-de-fundo;Carapau;22;2;2
2001;4;Ubatuba;espinhel-de-fundo;Carapau;45;1;1
2001;4;Ubatuba;linha-de-mão;Carapau;249;12;9
2001;5;Santos/Guarujá;parelha;Carapau;176;1;1
2001;5;Ubatuba;cerco-flutuante;Carapau;100;1;1
2001;6;Santos/Guarujá;arrasto-duplo;Carapau;67;3;2
2001;6;Santos/Guarujá;parelha;Carapau;180;1;1
2001;6;Ubatuba;emalhe-de-fundo;Carapau;20;1;1
2001;6;Ubatuba;linha-de-mão;Carapau;265;6;4
2001;7;Santos/Guarujá;cerco;Carapau;91200;11;3
2001;8;Santos/Guarujá;cerco;Carapau;68800;11;5
2001;8;Santos/Guarujá;parelha;Carapau;231;1;1
